Counter,Original QA,Created template,AQ-relation direction,First placeholder type,Found relation,Second placeholder type,Constraint relation,Example 1 expansion,Example 2 expansion
312,what main language do they speak in Brazil? Portuguese Language,what main language do they speak in _Q_? _A_ Language,False,country,language used,language,No constraint relation,what main language do they speak in Central African Republic? French Language,what main language do they speak in Algeria? French Language
316,what is the jurisdiction of the us Supreme Court? United States Of America,what is the jurisdiction of the us _Q_? _A_,False,supreme court,applies to jurisdiction,sovereign state,No constraint relation,what is the jurisdiction of the us Federal Supreme Court of Switzerland? Switzerland,what is the jurisdiction of the us Supreme Administrative Court of Sweden? Sweden
318,what position does ray allen? Shooting guard,what position does _Q_? _A_,False,human,position played on team / speciality,basketball position,No constraint relation,what position does Aaron Brooks? point guard,what position does Gary Payton? point guard
319,where did chancellorsville battle take place? Spotsylvania County,where did _Q_ battle take place? _A_,False,battle,location,county of Virginia,No constraint relation,where did Battle of Chaffin's Farm battle take place? Henrico County,where did Battle of Darbytown Road battle take place? Henrico County
320,what year was the Cubs last world series? 1908 World Series,what year was the _Q_ last world series? _A_,True,sports season,winner,baseball team,No constraint relation,what year was the San Francisco Giants last world series? 2010 Major League Baseball season,what year was the San Francisco Giants last world series? 2010 World Series
322,who was king or queen after Victoria? Edward VII,who was king or queen after _Q_? _A_,False,['human'],child,['human'],No constraint relation,Search space issue,Search space issue
325,where is headquarters of Verizon? New York,where is headquarters of _Q_? _A_,False,public company,headquarters location,port settlement,No constraint relation,where is headquarters of Alleghany Corporation? New York City,where is headquarters of Alleghany Corporation? New York City
328,where did Boston terriers come from? United States Of America,where did _Q_ terriers come from? _A_,False,county seat,country,country,No constraint relation,where did Rock Island terriers come from? United States of America,where did Leola terriers come from? United States of America
330,who played juni in spy kids 4? Daryl Sabara,who played juni in _Q_? _A_,False,"['film', '3D film']",cast member,"['human', 'human']",No constraint relation,Search space issue,Search space issue
332,where did John Muir die? Los Angeles,where did _Q_ die? _A_,False,['human'],place of death,"['second largest city', 'city of the United States', 'city', 'charter city', 'big city', 'county seat']",No constraint relation,Search space issue,Search space issue
349,what team does Kris Humphries play for in 2011? Brooklyn Nets,what team does _Q_ play for in 2011? _A_,False,human,member of sports team,basketball team,No constraint relation,what team does Henri Rey play for in 2011? ASVEL Basket,what team does Arsène Ade-Mensah play for in 2011? ASVEL Basket
352,who plays Lois Griffin in family guy? Alex Borstein,who plays _Q_ in family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who plays Monkey D. Luffy in family guy? Mayumi Tanaka,who plays Sakaki in family guy? Christine Auten
358,where did Robbie Hummel go to high school? Valparaiso High School,where did _Q_ go to high school? _A_,False,human,educated at,high school,No constraint relation,where did Francis Burr go to high school? Phillips Academy,where did Franz J. Ingelfinger go to high school? Phillips Academy
364,what system of government is used in South Korea? Constitutional republic,what system of government is used in _Q_? _A_,False,country,basic form of government,form of government,No constraint relation,what system of government is used in Cyprus? republic,what system of government is used in Estonia? republic
365,who won the governor election in Puerto Rico? Luis Fortuño,who won the governor election in _Q_? _A_,True,human,country of citizenship,political territorial entity,No constraint relation,who won the governor election in Puerto Rico? Gigi Fernández,who won the governor election in European Union? Sonia Paço-Rocchia
368,what college did Joe Namath go to? University Of Alabama,what college did _Q_ go to? _A_,False,['human'],educated at,"['public educational institution of the United States', 'public university']",No constraint relation,Search space issue,Search space issue
369,what wild animals live in Colorado? Lark Bunting,what wild animals live in _Q_? _A_,False,U.S. state,official symbol,taxon,No constraint relation,what wild animals live in Utah? Populus tremula,what wild animals live in California? California Quail
374,who plays the brother in Hannah Montana? Jason Earles,who plays the brother in _Q_? _A_,False,television series,cast member,human,No constraint relation,who plays the brother in My Name Is Earl? Jasmine Jessica Anthony,who plays the brother in My Name Is Earl? Geoffrey Lewis
375,what team does Lamar Odom play for 2011? Los Angeles Clippers,what team does _Q_ play for 2011? _A_,False,human,member of sports team,basketball team,No constraint relation,what team does Miro Bilan play for 2011? ASVEL Basket,what team does Joe Stephens play for 2011? ASVEL Basket
377,who did Michael Jordan marry? Yvette Prieto,who did _Q_ marry? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
378,what team does Terrell Owens play for this year? Cincinnati Bengals,what team does _Q_ play for this year? _A_,False,human,member of sports team,American football team,No constraint relation,what team does Biren Ealy play for this year? New Orleans Saints,what team does Brad Muster play for this year? New Orleans Saints
382,what college did Kerry Collins? Pennsylvania State University,what college did _Q_? _A_,False,['human'],educated at,"['open-access publisher', 'public research university']",No constraint relation,Search space issue,Search space issue
384,what kind of money does the Philippines use? Philippine peso,what kind of money does the _Q_ use? _A_,False,sovereign state,currency,currency,No constraint relation,what kind of money does the Samoa use? Samoan tālā,what kind of money does the Solomon Islands use? Solomon Islands dollar
386,what is the last movie Brittany Murphy made? 8 Mile,what is the last movie _Q_ made? _A_,True,['film'],cast member,['human'],No constraint relation,Search space issue,Search space issue
387,what kind of language do they speak in China? Standard Mandarin,what kind of language do they speak in _Q_? _A_,False,country,language used,language,No constraint relation,what kind of language do they speak in Papua New Guinea? Rotokas,what kind of language do they speak in People's Republic of China? Zhuang
388,what office does Hillary Clinton hold? United States Secretary of State,what office does _Q_ hold? _A_ Secretary of State,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
392,what continent is the Usa located in? North America,what continent is the _Q_ located in? _A_,False,country,continent,continent,No constraint relation,what continent is the Tanzania located in? Africa,what continent is the Comoros located in? Africa
393,what are the 3 official languages of Spain? Spanish Language,what are the 3 official languages of _Q_? _A_ Language,False,sovereign state,official language,language,No constraint relation,what are the 3 official languages of Uruguay? Spanish Language,what are the 3 official languages of San Marino? Italian Language
398,who did George Lucas get engaged to? Mellody Hobson,who did _Q_ get engaged to? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
408,what team Chris Paul play for? Los Angeles Clippers,what team _Q_ play for? _A_,False,human,member of sports team,basketball team,No constraint relation,what team Miro Bilan play for? ASVEL Basket,what team Joe Stephens play for? ASVEL Basket
409,what currency should i take to Jamaica? Jamaican dollar,what _Q_ should i take to Jamaica? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
410,what is Illinois State Bird? Northern Cardinal,what is _Q_ State Bird? _A_,False,U.S. state,official symbol,taxon,No constraint relation,what is Utah State Bird? Populus tremula,what is California State Bird? California Quail
411,what language do u speak in Egypt? Modern Standard Arabic,what language do u speak in _Q_? Modern Standard _A_,False,sovereign state,official language,language,No constraint relation,what language do u speak in Central African Republic? Modern Standard French,what language do u speak in Zimbabwe? Modern Standard Kalanga
416,who play Luke Skywalker? Mark Hamill,who play _Q_? _A_,False,fictional human,performer,human,No constraint relation,who play Poison? Atsuko Tanaka,who play Leonard Hofstadter? Johnny Galecki
417,what is the best island to visit in Greece? Ionian Islands,what is the best island to visit in _Q_? _A_,True,island group,country,country,No constraint relation,what is the best island to visit in Japan? Yaeyama Islands,what is the best island to visit in Canada? Tennent Islands
422,when was the last time the Toronto maple leafs make the playoffs? 1967 Stanley Cup Finals,when was the last time the _Q_ make the playoffs? _A_ Finals,True,Stanley Cup,winner,ice hockey team,No constraint relation,when was the last time the Pittsburgh Penguins make the playoffs? 2017 Stanley Cup Finals Finals,when was the last time the St. Louis Blues make the playoffs? 2019 Stanley Cup Finals Finals
423,"what kind of insurance does geico offer? Fire, Marine, and Casualty Insurance","what kind of _Q_ does geico offer? Fire, Marine, and _A_ Insurance",True,Types of insurance contracts,subclass of,economic activity,No constraint relation,"what kind of insurance does geico offer? Fire, Marine, and property insurance Insurance","what kind of insurance does geico offer? Fire, Marine, and property insurance Insurance"
424,who is the prime minister of New Zealand now? John Key,who is the prime minister of _Q_ now? _A_,True,['human'],country of citizenship,"['Commonwealth realm', 'island nation', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
428,who does Tim Howard play for club? Everton F.C.,who does _Q_ play for club? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
436,where president Nixon was born? Yorba Linda,where president _Q_ was born? _A_,False,['human'],place of birth,['city of the United States'],No constraint relation,Search space issue,Search space issue
442,what year did Florida marlins win The World Series? 2003 World Series,what year did _Q_ win The World Series? _A_,True,sports season,winner,baseball team,No constraint relation,what year did San Francisco Giants win The World Series? 2010 Major League Baseball season,what year did San Francisco Giants win The World Series? 2010 World Series
444,who is Leann Rimes with now? Eddie Cibrian,who is _Q_ with now? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
446,what countries did queen Elizabeth Ii rule? United Kingdom,what countries did _Q_ rule? _A_,False,['human'],country of citizenship,"['Commonwealth realm', 'island nation', 'realm', 'country', 'sovereign state', 'colonial power']",No constraint relation,Search space issue,Search space issue
450,where does Ben Stiller live in Ny? New York,where does _Q_ live in Ny? _A_,False,['human'],place of birth,"['million city', 'city of the United States', 'port settlement', 'city', 'largest city', 'city in the state of New York', 'big city', 'global city']",No constraint relation,Search space issue,Search space issue
451,what is the official language in Mexico? Spanish Language,what is the official language in _Q_? _A_ Language,False,sovereign state,official language,language,No constraint relation,what is the official language in Central African Republic? French Language,what is the official language in Guinea? French Language
455,who is the manager of the St Louis cardinals? Mike Matheny,who is the manager of the _Q_? _A_,False,baseball team,head coach,human,No constraint relation,who is the manager of the Tampa Bay Rays? Kevin Cash,who is the manager of the Samsung Lions? Huh Sam-young
458,what is the currency in Australia 2011? Australian dollar,what is the _Q_ in Australia 2011? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
467,who is ruling tunisia now? Ali Laarayedh,who is ruling _Q_ now? _A_,True,['human'],country of citizenship,"['republic', 'country', 'Mediterranean country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
468,who played Eowyn in the lord of the rings movies? Miranda Otto,who played _Q_ in the lord of the rings movies? _A_,False,film character,performer,human,No constraint relation,who played Aragorn in the lord of the rings movies? Viggo Mortensen,who played Patrick Bateman in the lord of the rings movies? Christian Bale
469,where is the parliament in South Africa? Cape Town,where is the parliament in _Q_? _A_,False,sovereign state,capital,capital,No constraint relation,where is the parliament in Switzerland? Bern,where is the parliament in Antigua and Barbuda? Saint John's
471,what type of cancer did huell howser die of? Prostate cancer,what type of cancer did _Q_ die of? _A_,False,No type,cause of death,No type,No constraint relation,Search space issue,Search space issue
472,what timezone is Minneapolis in? Central Time Zone,what timezone is _Q_ in? _A_,False,city of the United States,located in time zone,time zone,No constraint relation,what timezone is Centralia in? Pacific Time Zone,what timezone is San Leandro in? Pacific Time Zone
475,where is isthmus of Panama located? Costa Rica,where is isthmus of _Q_ located? _A_,False,sovereign state,shares border with,country,No constraint relation,where is isthmus of Lithuania located? Poland,where is isthmus of Belgium located? Netherlands
476,what is the money of Argentina called? Argentine peso,what is the money of _Q_ called? _A_,True,currency,country,country,No constraint relation,what is the money of Argentina called? Argentine peso,what is the money of Kenya called? Kenyan shilling
477,what college did Matt Schaub play for? Virginia Cavaliers football,what college did _Q_ play for? _A_ Cavaliers football,False,human,member of sports team,American football team,No constraint relation,what college did Anthony Castonzo play for? Boston College Eagles football Cavaliers football,what college did Brian St. Pierre play for? Boston College Eagles football Cavaliers football
478,where was Alice Paul born? Mount Laurel Township,where was _Q_ born? _A_,False,human,place of birth,township of New Jersey,No constraint relation,where was Patricia Darcy Jones born? Orange,where was Ray Yagiello born? Orange
479,what did John Quincy Adams died of? Cerebral hemorrhage,what did _Q_ died of? _A_,False,human,cause of death,disease,No constraint relation,what did Vigen Babayan died of? carcinoma,what did Tomasz Lengren died of? carcinoma
484,what money is used in the Maldives? Maldivian rufiyaa,what money is used in the _Q_? _A_,False,sovereign state,currency,currency,No constraint relation,what money is used in the Samoa? Samoan tālā,what money is used in the Solomon Islands? Solomon Islands dollar
485,where does Mike Leach coach? Washington State Cougars football,where does _Q_ coach? Washington State Cougars _A_,False,['human'],sport,['type of sport'],No constraint relation,Search space issue,Search space issue
487,where did Jrr Tolkien live? United Kingdom,where did _Q_ live? _A_,False,['human'],country of citizenship,"['Commonwealth realm', 'island nation', 'realm', 'country', 'sovereign state', 'colonial power']",No constraint relation,Search space issue,Search space issue
491,who plays the voice of Lois Griffin? Alex Borstein,who plays the voice of _Q_? _A_,False,fictional human,voice actor,human,No constraint relation,who plays the voice of Monkey D. Luffy? Mayumi Tanaka,who plays the voice of Sakaki? Christine Auten
492,what team does Sergio Aguero play for? Argentina national football team,what team does _Q_ play for? Argentina national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
494,who is the present chief justice of The U.S. Supreme Court? John Roberts,who is the present chief justice of The U.S. _Q_? _A_,False,supreme court,chairperson,human,No constraint relation,who is the present chief justice of The U.S. Supreme Court of Justice? Elisabeth Lovrek,who is the present chief justice of The U.S. Court of Cassation? Beatrijs Deconinck
496,what did einstein invent? Einstein refrigerator,what did _Q_ invent? _A_,True,absorption refrigerator,discoverer or inventor,human,No constraint relation,what did Leó Szilárd invent? Einstein refrigerator,what did Albert Einstein invent? Einstein refrigerator
497,who does Josh Hutcherson play in the hunger games? Peeta Mellark,who does _Q_ play in the hunger games? _A_,True,literary character,performer,human,No constraint relation,who does LeVar Burton play in the hunger games? Geordi La Forge,who does Ralph Fiennes play in the hunger games? Professor Moriarty
502,what language do denmark? Danish Language,what language do _Q_? _A_,False,country,language used,language,No constraint relation,what language do Finland? Amharic,what language do People's Republic of China? Zhuang
503,who is Facebook's founder? Mark Zuckerberg,who is _Q_'s founder? _A_,False,website,founded by,human,No constraint relation,who is Swedish Academy's founder? Gustav III of Sweden,who is Dozhd's founder? Aleksandr Vinokurov
505,what language do people speak in Costa Rica? Spanish Language,what language do people speak in _Q_? _A_ Language,False,sovereign state,language used,language,No constraint relation,what language do people speak in Hungary? Slovene Language,what language do people speak in Belgium? French Language
506,what kind of music does John Mayer play? Pop rock,what kind of music does _Q_ play? _A_,False,['human'],genre,['music genre'],No constraint relation,Search space issue,Search space issue
511,what is Australian currency? Australian dollar,what is Australian _Q_? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
512,what did Michelle Obama do? First Lady of The United States,what did _Q_ do? First Lady of The _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
513,what team does Chris Humphrey play for? Motherwell F.C.,what team does _Q_ play for? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
516,where did pixie lott go to school? Italia Conti Academy Of Theatre Arts,where did _Q_ go to school? _A_,False,human,educated at,independent school,No constraint relation,where did David Bensusan-Butt go to school? Gresham's School,where did Cecil Graves go to school? Gresham's School
519,who is Hugh Hefner dating now in 2012? Crystal Harris,who is _Q_ dating now in 2012? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
521,what is the name of Walt Disney'S son? Roy O. Disney,what is the name of _Q_ _A_'S son? Roy O. _A_,True,public company,founded by,human,No constraint relation,what is the name of Dustin Moskovitz Meta Platforms'S son? Roy O. Meta Platforms,what is the name of Amancio Ortega Inditex'S son? Roy O. Inditex
523,who was governor of Texas in 2003? Rick Perry,who was governor of _Q_ in 2003? _A_,True,human,residence,U.S. state,No constraint relation,who was governor of California in 2003? Carl Andersen,who was governor of California in 2003? Sivi Aberg
525,what is the currency used in Tunisia? Tunisian dinar,what is the _Q_ used in Tunisia? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
526,what language group does Polish belong to? Lechitic languages,what language group does _Q_ belong to? _A_,False,language,subclass of,language family,No constraint relation,what language group does Mizo belong to? Sino-Tibetan,what language group does Lipo belong to? Loloish
532,who is Jennifer Lawrence boyfriend 2012? Nicholas Hoult,who is _Q_ boyfriend 2012? _A_,False,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
535,where did the Cuban missile crisis happen? Cuba Island,where did the _Q_ happen? _A_ Island,False,political crisis,country,country,No constraint relation,where did the Supreme Court crisis in Poland happen? Poland Island,where did the Protests against Polish judiciary reforms happen? Poland Island
536,which team does Ronaldinho play for 2013? Brazil national football team,which team does _Q_ play for 2013? Brazil national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
537,who was the communist dictator of North Korea? Kim Jong-Il,who was the communist dictator of _Q_? _A_,True,['human'],country of citizenship,"['hermit kingdom', 'country', 'sovereign state', ""people's republic""]",No constraint relation,Search space issue,Search space issue
544,what currency does Brazil use? Brazilian real,what _Q_ does Brazil use? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
546,where does The Zambezi River end? Indian Ocean,where does The _Q_ end? _A_,False,main stream,mouth of the watercourse,ocean,No constraint relation,where does The Seine end? English Channel,where does The Zambezi River end? Indian Ocean
553,who does the voice of lois in family guy? Alex Borstein,who does the voice of _Q_ in family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who does the voice of Monkey D. Luffy in family guy? Mayumi Tanaka,who does the voice of Sakaki in family guy? Christine Auten
556,who was Arthur Miller influenced by? Henrik Ibsen,who was _Q_ influenced by? _A_,False,['human'],influenced by,['human'],No constraint relation,Search space issue,Search space issue
559,who is the current queen of Australia? Elizabeth Ii,who is the current queen of _Q_? _A_,False,sovereign state,head of state,human,No constraint relation,who is the current queen of Latvia? Egils Levits,who is the current queen of Republic of Ireland? Michael D. Higgins
560,where did Galileo go to school? University Of Pisa,where did _Q_ go to school? _A_,False,['human'],educated at,"['open-access publisher', 'public university']",No constraint relation,Search space issue,Search space issue
561,who did David Villa play for? Spain national football team,who did _Q_ play for? Spain national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
563,what currency should i take to Dubai? United States dollar,what _Q_ should i take to Dubai? _A_,False,No type,model item,No type,No constraint relation,Search space issue,Search space issue
565,who shot and killed president John F Kennedy? Lee Harvey Oswald,who shot and killed president _Q_? _A_,False,['human'],killed by,['human'],No constraint relation,Search space issue,Search space issue
568,what state was Hillary Clinton a senator for? New York,what state was _Q_ a senator for? _A_,False,human,work location,city,No constraint relation,what state was Eleanor Roosevelt a senator for? New York City,what state was Cándido Camero a senator for? New York City
570,who the voice of Lois Griffin? Alex Borstein,who the voice of _Q_? _A_,False,fictional human,voice actor,human,No constraint relation,who the voice of Monkey D. Luffy? Mayumi Tanaka,who the voice of Sakaki? Christine Auten
573,where is South Carolina located? United States Of America,where is _Q_ located? _A_,False,U.S. state,located in the administrative territorial entity,federal republic,No constraint relation,where is Indiana located? United States of America,where is Washington located? United States of America
575,who is the current coach of the Chicago bulls? Tom Thibodeau,who is the current coach of the _Q_? _A_,True,human,member of sports team,basketball team,No constraint relation,who is the current coach of the ASVEL Basket? Miro Bilan,who is the current coach of the ASVEL Basket? Joe Stephens
576,what language is mainly spoken in England? English Language,what language is mainly spoken in _Q_? _A_ Language,False,constituent country of the United Kingdom,language used,modern language,No constraint relation,what language is mainly spoken in England? English Language,what language is mainly spoken in Wales? English Language
584,who played Samuel Sullivan in heroes? Robert Knepper,who played _Q_ in heroes? _A_,False,television character,performer,human,No constraint relation,who played The Doctor in heroes? Sylvester McCoy,who played James T. Kirk in heroes? William Shatner
586,what Time Zone is Cincinnati oh in? North American Eastern Time Zone,what Time Zone is _Q_ oh in? _A_ Zone,False,big city,located in time zone,time zone,No constraint relation,what Time Zone is Minsk oh in? Eastern European Time Zone,what Time Zone is Vancouver oh in? Pacific Time Zone Zone
589,where is Mallorca? Mediterranean Sea,where is _Q_? _A_,False,island,located in or next to body of water,inland sea,No constraint relation,where is Avşa? Sea of Marmara,where is île Maïre? Mediterranean Sea
592,what character does Mila Kunis play on family guy? Meg Griffin,what character does _Q_ play on family guy? _A_,True,fictional human,voice actor,human,No constraint relation,what character does Núria Trifol play on family guy? Ran Mouri,what character does Lee Hyeon-jin play on family guy? Ran Mouri
593,who played Anakin Skywalker in phantom menace? Jake Lloyd,who played _Q_ in phantom menace? _A_,False,fictional human,performer,human,No constraint relation,who played Lucius Fox in phantom menace? Brock Peters,who played Dr. John Watson in phantom menace? Martin Freeman
594,what language do the people in Ghana speak? English Language,what language do the people in _Q_ speak? _A_ Language,False,country,language used,modern language,No constraint relation,what language do the people in Hungary speak? Slovak Language,what language do the people in Finland speak? Chinese Language
597,what did king george vi die of? Lung cancer,what did _Q_ die of? _A_,False,human,cause of death,rare disease,No constraint relation,what did Kay Starr die of? Alzheimer's disease,what did Beryl Davis die of? Alzheimer's disease
599,where did Brad Paisley graduate from college? Belmont University,where did _Q_ graduate from college? _A_,False,['human'],educated at,"['university', 'private not-for-profit educational institution']",No constraint relation,Search space issue,Search space issue
603,what theme songs did Alan Thicke wrote? It Takes Diff'rent Strokes,what theme songs did _Q_ wrote? It Takes _A_,True,television series,composer,human,No constraint relation,what theme songs did Mark Isham wrote? It Takes Once Upon a Time,what theme songs did W. G. Snuffy Walden wrote? It Takes Friday Night Lights
605,who plays Sarah Wittle in jumanji? Bonnie Hunt,who plays Sarah Wittle in _Q_? _A_,False,['film'],cast member,['human'],No constraint relation,Search space issue,Search space issue
609,what is the closest airport to Naples Florida? Marco Island Airport,what is the closest airport to Naples _Q_? _A_,True,airport,located in the administrative territorial entity,U.S. state,No constraint relation,what is the closest airport to Naples Louisiana? Alexandria International Airport,what is the closest airport to Naples Ohio? Dayton–Wright Brothers Airport
613,who did Megan Fox have a baby with? Brian Austin Green,who did _Q_ have a baby with? _A_,False,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
617,what company did Mitt Romney run? Bain Capital,what company did _Q_ run? _A_,True,business,founded by,human,No constraint relation,what company did Peter F. Paul run? Stan Lee Media,what company did Eberhard Anheuser run? Anheuser-Busch
621,who drafted Kevin Garnett? Minnesota Timberwolves,who drafted Kevin _Q_? Minnesota _A_,False,human,drafted by,basketball team,No constraint relation,who drafted Kevin Brittainey Raven? Minnesota Atlanta Dream,who drafted Kevin Betnijah Laney? Minnesota Chicago Sky
622,what did Bruce Jenner win gold for? Athletics at the 1976 Summer Olympics - Men'S Decathlon,what did _Q_ win gold for? Athletics at the 1976 Summer Olympics - Men'S _A_,False,human,sports discipline competed in,sports discipline,No constraint relation,what did Amaro Antunes win gold for? Athletics at the 1976 Summer Olympics - Men'S road bicycle racing,what did Jin Yong-sik win gold for? Athletics at the 1976 Summer Olympics - Men'S road bicycle racing
623,who did the voice of Darth Vader in star wars? James Earl Jones,who did the voice of _Q_ in star wars? _A_,False,fictional human,voice actor,human,No constraint relation,who did the voice of Sam Fisher in star wars? Jeff Teravainen,who did the voice of Ran Mouri in star wars? Núria Trifol
625,who is prime minister of Japan 2011? Yoshihiko Noda,who is prime minister of _Q_ 2011? _A_,True,['human'],country of citizenship,"['island nation', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
626,what year did Aaron Rodgers get drafted? 2005 Nfl Draft,what year did _Q_ get drafted? _A_,False,human,drafted by,National Football League Draft,No constraint relation,what year did Aaron Rodgers get drafted? 2005 NFL Draft,what year did Charles Davis get drafted? 1987 NFL Draft
635,what type of currency does Egypt have? Egyptian pound,what type of _Q_ does Egypt have? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
636,what club team is Diego Forlan on? Uruguay national football team,what club team is _Q_ on? Uruguay national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
637,who is the leader of Cuba 2012? Raúl Castro,who is the leader of _Q_ 2012? _A_,True,['human'],country of citizenship,"['country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
639,what features do Islam and Christianity have in common? Abrahamic religions,what features do Islam and _Q_ have in common? _A_,False,major religious group,subclass of,religion type,No constraint relation,what features do Islam and Islam have in common? Abrahamic religion,what features do Islam and Sikhism have in common? monotheistic religion
640,what was queen victoria queen of? United Kingdom,what was _Q_ queen of? _A_,False,human,country of citizenship,historical country,No constraint relation,what was Jakob Gunnstveit queen of? Union between Sweden and Norway,what was Jens Christian Ferdinand Birch queen of? Union between Sweden and Norway
645,what airport do you fly into to get to cabo san lucas? Cabo San Lucas International Airport,what airport do you fly into to get to _Q_? _A_,True,international airport,place served by transport hub,city,No constraint relation,what airport do you fly into to get to Edinburgh? Edinburgh Airport,what airport do you fly into to get to Conakry? Ahmed Sékou Touré International Airport
647,what does Nazis stand for? National Socialist Party,what does _Q_ stand for? _A_,True,political party in Germany,political ideology,political ideology,No constraint relation,what does Strasserism stand for? Socialist Reich Party,what does social conservatism stand for? Centre Party
650,who is Lamar Odom playing for in 2012? Los Angeles Lakers,who is _Q_ playing for in 2012? _A_,False,human,member of sports team,basketball team,No constraint relation,who is Von Wafer playing for in 2012? Portland Trail Blazers,who is Greg Smith playing for in 2012? Portland Trail Blazers
651,who makes Lois Griffin voice? Alex Borstein,who makes _Q_ voice? _A_,False,fictional human,voice actor,human,No constraint relation,who makes Monkey D. Luffy voice? Mayumi Tanaka,who makes Sakaki voice? Christine Auten
